Fecha,Nombre Productos,Cantidad,Precios
07/12/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
07/12/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
07/12/2022,Queso Cremon Light LA SERENISIMA X Kg,0.5,"$2.019,00"
07/12/2022,Gaseosa PASO DE LOS TOROS Botella 2.25 L,2.0,"$137,13"
07/12/2022,"Gaseosa SCHWEPPES Sin Azúcar Pomelo 2,25 Lt",2,"$230,67"
07/12/2022,"Gaseosa Coca-Cola Sin Azúcar 2,25 Lt",6,"$230,67"
07/12/2022,Pan Blanco BIMBO Artesano 500g,4,"$1.283,98"
07/12/2022,Servilletas Familiares X 1 Sussex Paq 140 Uni,2,"$3,32"
07/12/2022,Reggianito Xkg,0.5,"$2.389,00"
07/12/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10.0,"$215,28"
07/12/2022,Crema Leche Clásica P/Bati La Serenisi Sqa 520 Ml,1,"$1.227,11"
07/12/2022,Crema Leche Para Cocinar La Serenisima Ttb 520 Ml,1,"$1.130,59"
07/12/2022,P.Higienico S/H X 12 Rollo Felpita Paq 36 M2,2,"$32,99"
07/12/2022,Aceite Oliva Virgen Extra Natura Botella 500 Ml,2,"$1.956,66"
07/12/2022,Dulce De Leche LA SERENISIMA Estilo Colonial 1 Kg,1,"$894,35"
07/12/2022,Dulce De Leche MILKAUT Repostero Pote 1 Kg,2,"$933,25"
07/12/2022,Salsa De Soja DARAMA Botella 500 Ml,1,"$1.443,90"
07/12/2022,Rollo Film Adherente + Film De Aluminio SEPARATA 15 Mt / 5 Mt Paquete 2 Unidades,2,"$36,76"
07/12/2022,Lasagna Matarazzo Paq 400 Grm,1,"$1.139,47"
29/11/2022,Crema Dental COLGATE Sensitive Pro-Alivio Real White 110g,4,"$4.332,09"
29/11/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
29/11/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
29/11/2022,Antitranspirante V8 Rexona 150 Ml,3,"$3.446,60"
29/11/2022,Repuestos De Afeitar Con Aloe GILLETTE Mach3 Sensitive 4 Un,1,"$528,00"
29/11/2022,Jabon Antibacterial Original X3 Unidades Rexona Paq 270 Grm,1,"$1.448,11"
29/11/2022,Jabón De Tocador DOVE Original Multipack 6x90 G,1,"$1.837,01"
29/11/2022,Jabon Antibacterial Fresh Rexona Paq 90 Grm,3,"$1.140,55"
29/11/2022,Jabon Liquido Bio Enzimas Skip Doy 3 Ltr,1,"$620,80"
29/11/2022,Rollos De Cocina Clásico X3 Uni Sussex Paq 10.3 Mtr,2,"$62,75"
29/11/2022,"Detergente MAGISTRAL Limón Multiuso Power 1,4 L",2,"$975,00"
29/11/2022,Jabón En Pan P/Lavar Fragancia Coco Ala Paq 200 Grm,1,"$841,95"
29/11/2022,Bolsas De Residuos TASK 50 X 70 Cm 20 U. Multiuso,3,"$29,58"
29/11/2022,Desinfectante De Ambientes Y Elimina Olores LYSOFORM Original En Aerosol 360ml,2,"$1.216,63"
29/11/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
29/11/2022,Leche Parcialmente Descremada Liviana LA SERENISIMA Larga Vida 1l,4,"$317,30"
29/11/2022,Te Earl Grey GREEN HILLS X 20 Uni,2,"$955,00"
29/11/2022,Pan Blanco BIMBO Artesano 500g,4,"$1.283,98"
29/11/2022,Pan Integral Grano Entero BIMBO 400 Grm,2,"$1.205,10"
29/11/2022,Cafe Instantaneo Suave Nescafe Pou 170 Grm,2,"$6.827,35"
29/11/2022,Rebozador P/Horno Mama Cocina Paq 1 Kgm,2,"$419,11"
29/11/2022,Rollo Film Adherente SEPARATA 15 Metros Paquete 1 Unidad,3,"$26,90"
29/11/2022,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm,5,"$185,09"
29/11/2022,Vainillas Bimbo Fwp 444 Grm,2,"$1.432,41"
29/11/2022,Aceite Fritolim Clasico Antiad Fritolim Aer 120 Grm,2,"$3.568,41"
29/11/2022,Leche Condensada Nestlé 395 Grm,2,"$1.320,12"
29/11/2022,Lomo De Atún En Aceite La Campagnola 170 Grm,8,"$4.562,47"
29/11/2022,Queso CANUT Parmesano X Kg,0.5,"$3.049,00"
29/11/2022,Queso De Maquina Pategras Sandw La Paulina X Kg,0.5,"$1.559,00"
29/11/2022,Crema Leche Para Cocinar La Serenisima Ttb 520 Ml,2.0,"$1.130,59"
29/11/2022,Queso Untable Clásico FINLANDIA Pot 290 Grm,1,"$2.259,13"
29/11/2022,Queso Untable Balance Finlandia Pot 290 Grm,1,"$2.259,13"
29/11/2022,Mayonesa Clásica HELLMANNS 950 Grm,1,"$578,26"
29/11/2022,Azúcar Superior Real LEDESMA 1 Kg.,2,"$265,00"
29/11/2022,Cacao En Polvo Nesquik 800 Grm,1,"$1.552,93"
23/11/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
23/11/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
23/11/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
23/11/2022,Leche Parcialmente Descremada Liviana LA SERENISIMA Larga Vida 1l,6,"$317,30"
23/11/2022,Queso Cremon Light LA SERENISIMA X Kg,0.5,"$2.019,00"
23/11/2022,Manteca Multivitaminas La Serenísima 200gr,4.0,"$2.422,80"
23/11/2022,Reggianito Xkg,0.5,"$2.389,00"
23/11/2022,Queso Crema Clásico Casancrem 480 Grm,1.0,"$1.546,87"
23/11/2022,Yogur Cremix Entero Frutilla YOGURISIMO 120gr,6,"$1.392,50"
23/11/2022,Yogur Estilo Griego Entero Vainilla Caramel YOGURISIMO 125gr,6,"$2.167,50"
23/11/2022,Queso Blanco Light Casancrem 480 Grm,1,"$1.546,87"
23/11/2022,Caldo KNORR En Cubos De Verduras 12 Unidades,2,"$2.159,38"
23/11/2022,Levadura Seca LEVEX 10 Gr X 2 Unidades,10,"$561,00"
23/11/2022,Bolsas De Residuos ASURIN 80 X 110 Cm 10 U. Fuertes,6,"$138,17"
23/11/2022,Bolsas De Residuos TASK 34 X 38 Cm 20 U. Para Baño Oficia Papeleros Pequeños,2,"$12,98"
23/11/2022,Lavandina En Gel Original Vim Bot 700 Ml,3,"$372,27"
23/11/2022,"Bolsas Herméticas ZIPLOC 26,8 X 27,3 Cm 15 U. Para Organizar",2,"$74,40"
23/11/2022,Mayonesa Clásica HELLMANNS 950 Grm,2,"$578,26"
23/11/2022,Aceite Oliva Virgen Extra Natura Botella 500 Ml,3,"$1.956,66"
23/11/2022,Rollos De Cocina Clásico X3 Uni Sussex Paq 10.3 Mtr,3,"$62,75"
23/11/2022,Azafrán Alicante Bli 2 Grm,2,"$29.497,50"
23/11/2022,Guante Med Extra Sensacio Vileda Par 1 Uni,2,"$605,69"
23/11/2022,Servilletas Familiares X 1 Sussex Paq 140 Uni,2,"$3,32"
23/11/2022,Tomate Perita ARCOR Lata 400 Gr,2,"$546,00"
23/11/2022,Azúcar Superior Real LEDESMA 1 Kg.,2,"$265,00"
23/11/2022,Pan Blanco BIMBO Artesano 500g,3,"$1.283,98"
23/11/2022,Salsa Filetto La Campagnola Pou 340 Grm,3,"$473,67"
23/11/2022,Huevo Color Maple X 30 Uni 30 Uni,2,"$36,57"
23/11/2022,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm,3,"$185,09"
23/11/2022,Detergente MAGISTRAL Limón Multiuso Power 500 Ml,3,"$1.119,98"
15/11/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
15/11/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
15/11/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
15/11/2022,Crema Leche Para Cocinar La Serenisima Ttb 520 Ml,2,"$1.130,59"
15/11/2022,Crema Leche Clásica P/Bati La Serenisi Sqa 520 Ml,2,"$1.227,11"
15/11/2022,Queso Blanco Light Casancrem 480 Grm,1,"$1.546,87"
15/11/2022,Queso Crema Clásico Casancrem 480 Grm,1,"$1.546,87"
15/11/2022,Manteca Multivitaminas La Serenísima 200gr,4,"$2.422,80"
15/11/2022,Port Salut Light Sin Lactosa La Serenisi X 1 Kgm,0.5,"$2.349,00"
15/11/2022,Reggianito Xkg,0.5,"$2.389,00"
15/11/2022,Yogur Natural Entero Sin Azúcar YOGURISIMO 300gr,2.0,"$1.226,33"
15/11/2022,Espagueti LUCCHETTI Paquete 500 Gr,4,"$320,96"
15/11/2022,Pan Integral BIMBO Artesano 500g,3,"$1.443,98"
15/11/2022,Pan Blanco BIMBO Artesano 500g,3,"$1.283,98"
15/11/2022,Tortillas Exta Gde X 8 Un- . Bsa 400 Grm,2,"$1.222,00"
15/11/2022,Rebozador P/Horno Mama Cocina Paq 1 Kgm,2,"$419,11"
15/11/2022,Aceite Girasol PUREZA Botella 1.5 L,2,"$552,62"
15/11/2022,Rollos De Cocina Clásico X3 Uni Sussex Paq 10.3 Mtr,2,"$62,75"
15/11/2022,Limpiador Líquido Aromatizante POETT Frescura De Lavanda (Botella) 4 Lts,2,"$206,75"
15/11/2022,Bolsas De Residuos TASK 50 X 70 Cm 20 U. Multiuso,3,"$29,58"
15/11/2022,Harina Leudante BLANCAFLOR Paquete 1 Kg,2,"$255,15"
15/11/2022,Jugo CEPITA DEL VALLE Multifruta 200 Ml,12,"$477,25"
15/11/2022,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm,4,"$185,09"
15/11/2022,Patitas Pollo . Granja Del . 1100 Grm,1,"$2.240,90"
15/11/2022,Nuez Moscada Grano La Parmesan Bli 2 Grm,2,"$18.980,00"
09/11/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
09/11/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
09/11/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
09/11/2022,Crema Leche P/Cocinar La Serenisi Ttb 330 Ml,7,"$1.557,57"
09/11/2022,Yogur Natural Entero Sin Azúcar YOGURISIMO 300gr,2,"$1.226,33"
09/11/2022,Queso Untable Balance Finlandia Pot 290 Grm,1,"$2.259,13"
09/11/2022,Queso Unt Light . FINLANDIA Pot 290 Grm,1,"$2.259,13"
09/11/2022,Reggianito Xkg,0.5,"$2.389,00"
09/11/2022,Queso Gouda . Canut Xkg,0.5,NA
09/11/2022,Tapas Para Empanadas Criollas X 12 Uni LA SALTEÑA Bsa 330 Grm,2.0,"$831,81"
09/11/2022,Tapas Para Empanadas Hojaldradas LA SALTEÑA X 12 Uni Bsa 330 Grm,2,"$831,81"
09/11/2022,Galletitas Dulces Sabor Chocolate Chocolinas 262 Grm,3,"$1.311,03"
09/11/2022,Choc.P/Taza Familiar Aguila Tab 225 Grm,2,"$2.935,51"
09/11/2022,Dulce De Leche LA SERENISIMA Estilo Colonial 1 Kg,1,"$894,35"
09/11/2022,Dulce De Leche MILKAUT Repostero Pote 1 Kg,1,"$933,25"
09/11/2022,Aceite Girasol Lira Botella 1.5 L,3,"$548,02"
09/11/2022,Choclo Enteros BONDUELLE Lata 300 Gr,3,"$3.483,89"
09/11/2022,Jamon Cocido Feteado Bocatti Bli 130 Grm,4,"$5.346,15"
09/11/2022,Queso De Maquina Pategras Sandw La Paulina X Kg,0.5,"$1.559,00"
09/11/2022,Pan Blanco BIMBO Artesano 500g,3.0,"$1.283,98"
09/11/2022,Pan Integral BIMBO Artesano 500g,2,"$1.443,98"
09/11/2022,Arroz Largo Fino LUCCHETTI Paquete 1 Kg,3,"$187,02"
09/11/2022,Papel Higiénico HIGIENOL Max Hoja Simple Panal Paq 4 Unid X 100 Mts C/U,3,"$22,13"
09/11/2022,Yerba Mate 4 Flex UNION 1 Kgm,1,"$764,95"
01/11/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
01/11/2022,Agua Sin Gas Villavicencio 1.5 Ltr,30,"$121,84"
01/11/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
01/11/2022,Crema Leche Para Cocinar La Serenisima Ttb 520 Ml,2,"$1.130,59"
01/11/2022,Queso Blanco Clásico Light CASANCREM 480gr,2,"$1.546,87"
01/11/2022,Queso Crema Clásico Entero CASANCREM 480gr,2,"$1.546,87"
01/11/2022,Jamon Cocido Feteado Bocatti Bli 130 Grm,4,"$5.346,15"
01/11/2022,Queso Untable Clásico FINLANDIA Pot 290 Grm,1,"$2.259,13"
01/11/2022,Queso Untable Balance Finlandia Pot 290 Grm,1,"$2.259,13"
01/11/2022,Reggianito Xkg,0.75,"$2.389,00"
01/11/2022,Cacao En Polvo Nesquik 800 Grm,1.0,"$1.552,93"
01/11/2022,Bolsas De Residuos TASK 34 X 38 Cm 20 U. Para Baño Oficia Papeleros Pequeños,2,"$12,98"
01/11/2022,Aceite Girasol PUREZA Botella 900 Ml,4,"$588,18"
01/11/2022,Cafe Instantaneo Suave Nescafe Pou 170 Grm,2,"$6.827,35"
01/11/2022,Café En Cápsulas STARBUCKS Blonde Espresso Roast X 53 Gr,2,"$39.528,30"
01/11/2022,Café En Cápsulas STARBUCKS Pike Place Roast X 53 Gr,2,"$39.528,30"
01/11/2022,Rapiditas Clasicas Bimbo 275 Grm,2,"$1.356,32"
01/11/2022,Rapiditas Integrales Bimbo 275 Grm,2,"$1.356,32"
01/11/2022,Rapiditas Light Bimbo 275 Grm,1,"$1.356,32"
01/11/2022,Harina Leudante BLANCAFLOR Paquete 1 Kg,2,"$255,15"
01/11/2022,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm,4,"$185,09"
01/11/2022,Harina Trigo Integral MORIXE Paq 1 Kg,2,"$171,60"
01/11/2022,Arroz Largo Fino LUCCHETTI Paquete 1 Kg,3,"$187,02"
01/11/2022,Rollo Film Adherente + Film De Aluminio SEPARATA 15 Mt / 5 Mt Paquete 2 Unidades,3,"$36,76"
01/11/2022,Rollo Papel Manteca Separata Rol 1 Uni,2,"$139,70"
01/11/2022,Barra Cereal Frutilla Con Crema QUAKER 150 Grm,3,"$4.099,93"
01/11/2022,Huevo Color Maple X 30 Uni 30 Uni,2,"$36,57"
01/11/2022,Azúcar Superior Real LEDESMA 1 Kg.,1,"$265,00"
01/11/2022,Lomo De Atún En Aceite La Campagnola 170 Grm,8,"$4.562,47"
01/11/2022,Nuez Moscada Entera Alicante Sob 20 Grm,2,"$1.551,45"
01/11/2022,Pan Blanco BIMBO Artesano 500g,3,"$1.283,98"
01/11/2022,Cabo Asapractic De Madera Con Rosca Forrado,1,"$693,19"
01/11/2022,Lavavajillas Bio Act.Lima Cif Bot 750 Ml,3,"$945,85"
01/11/2022,Tomate Perita LA CAMPAGNOLA Lata 400 Gr,4,"$472,75"
01/11/2022,Salsa Filetto La Campagnola Pou 340 Grm,4,"$473,67"
01/11/2022,Paño Multiuso SKAY 34x39 Cm Paq 8 Uni,1,"$137,47"
01/11/2022,Guantes PATITO Mediano Bsa 2 Uni,3,"$502,89"
01/11/2022,Ketchup Hellmann'S Regular 250 G Doypack,3,"$1.080,52"
01/11/2022,Desinfectante De Ambientes Y Elimina Olores LYSOFORM Original En Aerosol 360ml,3,"$1.216,63"
01/11/2022,Esponja MORTIMER Cuadriculada Abrasiva 1 Un,3,"$128,99"
01/11/2022,Limpiador De Cocina MR. MÚSCULO Líquido Extra Power Limón Repuesto 900ml,2,"$491,43"
01/11/2022,Jabon Liquido Bio Enzimas Skip Doy 3 Ltr,2,"$620,80"
01/11/2022,Rollos De Cocina Clásico X3 Uni Sussex Paq 10.3 Mtr,2,"$62,75"
01/11/2022,Papel Higiénico HIGIENOL Max Hoja Simple Panal Paq 4 Unid X 100 Mts C/U,3,"$22,13"
01/11/2022,Pañuelos Descartables Pack Familiar Elite 10 Uni,1,"$37,24"
01/11/2022,Shampoo PANTENE Essentials Cuidado Clásico 400 Ml,2,"$1.099,30"
01/11/2022,Acondicionador PANTENE Essentials Brillo Extremo 200 Ml,2,"$2.944,95"
01/11/2022,Crema Dental COLGATE Máxima Protección Anticaries Neutrazúcar 90g,2,"$3.288,77"
26/10/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
26/10/2022,Queso Blanco Clásico Light CASANCREM 480gr,3,"$1.546,87"
26/10/2022,Manteca Multivitaminas La Serenísima 200gr,6,"$2.422,80"
26/10/2022,Queso Untable Balance Finlandia Pot 290 Grm,1,"$2.259,13"
26/10/2022,Queso Unt Light . FINLANDIA Pot 290 Grm,1,"$2.259,13"
26/10/2022,Queso Cremon Light LA SERENISIMA X Kg,0.5,"$2.019,00"
26/10/2022,Yogur Estilo Griego Entero Arándanos A La Crema YOGURISIMO 125gr,9.0,"$2.080,80"
26/10/2022,Yogur Estilo Griego Entero Duraznos A La Crema YOGURISIMO ​125gr,4,"$2.080,80"
26/10/2022,Yogur Estilo Griego Entero Vainilla Caramel YOGURISIMO 125gr,4,"$2.167,50"
26/10/2022,Sal Fina . Dos Ancla Est 500 Grm,3,"$231,26"
26/10/2022,Arroz Largo Fino LUCCHETTI Paquete 1 Kg,6,"$187,02"
26/10/2022,Espagueti LUCCHETTI Paquete 500 Gr,6,"$320,96"
26/10/2022,Azúcar Superior Real LEDESMA 1 Kg.,3,"$265,00"
26/10/2022,Endulzante Clásico Forte Hileret Bot 500 Ml,1,"$1.248,54"
26/10/2022,Caldo KNORR En Cubos De Verduras 6 Unidades,2,"$2.591,40"
26/10/2022,Mate Cocido X50 Sob. Selec La Tranquer Cja 200 Grm,2,"$2.439,86"
26/10/2022,Aceite Girasol Lira Botella 900 Ml,4,"$543,20"
26/10/2022,Pan Blanco BIMBO Artesano 500g,5,"$1.283,98"
26/10/2022,Jugo CEPITA DEL VALLE Multifruta 200 Ml,18,"$477,25"
26/10/2022,Harina 0000 Ultra Refinada Pureza Paq 1 Kgm,4,"$185,09"
26/10/2022,Bicarbonato De Sodio Alicante Sob 50 Grm,2,"$174,82"
26/10/2022,Caldo KNORR Cubo De Gallina 12 Unidades,2,"$2.159,38"
26/10/2022,Aceite Oliva Virgen Extra Natura Intenso Botella 500 Ml,2,"$1.956,66"
26/10/2022,Aceite Fritolim Clasico Antiad Fritolim Aer 120 Grm,2,"$3.568,41"
26/10/2022,Huevo Color Maple X 30 Uni 30 Uni,2,"$36,57"
26/10/2022,Bolsas De Residuos TASK 50 X 70 Cm 20 U. Multiuso,4,"$29,58"
26/10/2022,Bolsas De Residuos TASK 80 X 110 10 U. Multiuso,3,"$115,19"
26/10/2022,Limpiador Líquido Aromatizante POETT Frescura De Lavanda (Botella) 4 Lts,2,"$206,75"
26/10/2022,Cabo La Gauchita Metálico Azul,1,"$928,99"
26/10/2022,Escobillon Laqueado Iris Glow X 1 Uni,1,"$1.515,19"
26/10/2022,Pala La Gauchita Max Rebatible Con Cabo,1,"$2.061,39"
26/10/2022,Te Earl Grey GREEN HILLS X 20 Uni,2,"$955,00"
26/10/2022,Lavandina En Gel Original Vim Bot 700 Ml,2,"$372,27"
26/10/2022,"Guante Go! Classic - Talle ""M""",2,"$757,09"
26/10/2022,P.Higienico Dúo X4 Higienol Paq 50 Mtr,3,"$127,36"
26/10/2022,Rollos De Cocina Clásico X3 Uni Sussex Paq 10.3 Mtr,3,"$62,75"
26/10/2022,Lavavajillas Bio Act.Lima Cif Bot 750 Ml,3,"$945,85"
26/10/2022,Jabon Liquido Bio Enzimas Skip Doy 3 Ltr,1,"$620,80"
26/10/2022,Enjuag.Ropa Clásico Vivere Doy 3 Ltr,1,"$373,83"
26/10/2022,Cepillo Sanitario La Gauchita,1,"$709,39"
26/10/2022,Barra Cereal Frutilla Con Crema QUAKER 150 Grm,1,"$4.099,93"
26/10/2022,Chocobar De Arroz X6 Uni Gallo Snack Paq 120 Grm,1,"$4.924,91"
26/10/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
26/10/2022,Agua Sin Gas Villavicencio 1.5 Ltr,24,"$121,84"
26/10/2022,Balde 10lts Negro HERALDPLAST,1,NA
19/10/2022,Agua Sin Gas Villavicencio 1.5 Ltr,36,"$121,84"
19/10/2022,Agua Mineral Natural De Manantial Villavicencio 2 L,24,"$97,55"
19/10/2022,Leche Descremada LA SERENISIMA 1% Sachet 1 L,10,"$215,28"
19/10/2022,Queso Unt Light . FINLANDIA Pot 290 Grm,2,"$2.259,13"
19/10/2022,Queso Untable Balance Finlandia Pot 290 Grm,2,"$2.259,13"
19/10/2022,Queso Cremon Light LA SERENISIMA X Kg,0.5,"$2.019,00"
19/10/2022,Crema Leche Para Cocinar La Serenisima Ttb 520 Ml,2.0,"$1.130,59"
19/10/2022,Crema Leche Clásica P/Bati La Serenisi Sqa 520 Ml,2,"$1.227,11"
19/10/2022,Patitas Pollo . Granja Del Bsa 400 Grm,1,"$1.995,50"
19/10/2022,Lomo De Atún En Aceite La Campagnola 170 Grm,5,"$4.562,47"
19/10/2022,Ketchup Hellmann'S Regular 250 G Doypack,3,"$1.080,52"
19/10/2022,Salsa Lista KNORR Filetto 340 G,3,"$384,88"
19/10/2022,Tomate Perita LA CAMPAGNOLA Lata 400 Gr,4,"$472,75"
19/10/2022,Aceite Girasol Lira Botella 900 Ml,3,"$543,20"
